,feature_names,human_readable
0,fixation_texas_median_AccProfMd_R,Median (over fixations) of median accelaration~\cite{rigas2018study}
1,fixation_texas_mean_VelProfSk_R,Mean (over fixations) of skewness values of velocity~\cite{rigas2018study}
2,fixation_texas_median_VelProfSk_R,Median (over fixations) of skewness values of velocity~\cite{rigas2018study}
3,fixation_texas_median_AccProfMn_R,Median (over fixations) of mean accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
4,fixation_texas_median_VelProfKu_R,Mean (over fixations) of kurtosis values of velocity~\cite{rigas2018study}
5,fixation_texas_median_AccProfMd_H,Mean (over fixations) of medians of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
6,fixation_texas_mean_VelProfSk_H,Mean (over fixations) of skewness values of horizontal velocity~\cite{rigas2018study}
7,fixation_texas_mean_AccProfMd_V,Mean (over fixations) of medians of vertical  accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
8,fixation_texas_median_AccProfMd_V,Median (over fixations) of medians of vertical accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
9,fixation_texas_mean_AccProfMd_R,Mean (over fixations) of medians of accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
10,saccade_texas_mean_direction_h,Mean (over saccades ) of horizontal direction of saccade~\cite{rigas2018study}
11,fixation_texas_median_AccProfSd_H,Median (over fixations) of standard deviations of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
12,fixation_texas_mean_AccProfSd_V,Mean (over fixations) of standard deviations of vertical accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
13,fixation_texas_median_AccProfSd_V,Median (over fixations) of standard deviations of vertical accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
14,fixation_texas_mean_AccProfSd_R,Mean (over fixations) of standard deviations of accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
15,fixation_texas_median_AccProfSd_R,Median (over fixations) of standard deviations of accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
16,fixation_texas_median_DriftAvgSpeed_V,Median (over fixations) of means of vertical drift velocities  ~\cite{rigas2018study}
17,fixation_texas_mean_AccProfSk_H,Mean (over fixations) of skewness values of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
18,fixation_texas_median_VelProfSk_H,Median (over fixations) of skewness values of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
19,saccade_texas_std_peak_vel_duration_ratio_v,Standard deviation (over saccades) of vertical peak velocities of saccades (deg/s$^2$)~\cite{rigas2018study}
20,fixation_texas_mean_AccProfMd_H,Mean (over fixations) medians of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
21,fixation_texas_median_AccProfSk_H,Mean (over fixations) of  skewness values of horizontal accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
22,fixation_texas_mean_VelProfSk_V,Mean (over fixations) of  skewness values of velocity~\cite{rigas2018study}
23,fixation_texas_median_VelProfSk_V,Median (over fixations) of skewness values of velocity~\cite{rigas2018study}
24,fixation_texas_median_VelProfMd_R,Median (over fixations) medians of velocity~\cite{rigas2018study}
25,fixation_texas_median_VelProfKu_H,Median (over fixations) kurtosis values of horizontal velocity~\cite{rigas2018study}
